job_id,job_title,company_name,location,time_posted,num_applicants,description
4168381540,New Data Analyst (E-Commerce),Luxor seating system,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",3 hours ago,,"Data Analyst (E-Commerce)
Thương lượng
Hết hạn trong 1 tháng
257 lượt xem
Hồ Chí Minh
Tối ưu lợi thế cạnh tranh trước khi ứng tuyển
Xem phân tích mức độ phù hợp và so sánh với ứng viên đã ứng tuyển
Hơn 90% người dùng hài lòng
Mô tả công việc
Responsibilities
Panasonic Sales Vietnam is looking for a skilled and detail-oriented 
Data Analyst
 to join our team. This role will focus on analyzing business performance, monitoring key metrics, and automating reporting to provide actionable insights across various markets and business lines. Key responsibilities include:
 Be the expert in using data to measure and analyze business performance across our markets and lines of business.
 Monitor key metrics and alert the business to potential issues.
 Design market/business intelligence reports and performance measurement dashboards, such as EC/D2C daily/monthly sales and traffic performance reports.
 Develop and automate reports and interactively build and prototype dashboards to provide insights at scale, solving analytical needs by integrating data from various sources.
 Analyze and control expenses of EC platforms monthly/quarterly/yearly by monitoring EC P&L reports and EC spending on each platform vs. the budget plan.
 Study methods for analyzing data to improve PSI forecast accuracy across each category.
 Support the Digital/D2C/CRM team with CDP/GWC data centralization and analyze customer journey history.
 Perform ad-hoc analysis to drill down into specific business challenges, providing conclusions and advice based on data analysis.
 Support projects on data projection, data analysis, performance tracking, and summarize data analysis requirements.
 Assist colleagues in understanding data insights and handling basic data analysis tasks.
 Perform other ad-hoc tasks as assigned by the line manager.
Yêu cầu công việc
 Bachelor’s or master’s degree in a relevant field of study.
 At least 1 year of experience in analytics, project management, strategy, tech consulting, or related fields. Experience in e-commerce is a plus.
 Fluent in English, with strong skills in both written and spoken communication.
 Proficient in Power BI and Excel with strong technical skills.
 Strong critical thinking, analytical, and numerical skills, paired with effective communication abilities.
 Adaptable and eager to work in a fast-paced, dynamic environment.
 Hands-on experience in data extraction, cleaning, preparation, and dashboard development.
 Self-motivated, energetic, and willing to learn, with the ability to perform well under pressure.
Phân tích mức độ cạnh tranh
VietnamWorks AI
Bạn phù hợp bao nhiêu % cho vị trí này?
Bạn xếp hạng Top bao nhiêu so với những hồ sơ ứng tuyển?
Thị trường đang trả mức lương bao nhiêu cho vị trí tương tự?
Nhu cầu tuyển dụng cho vị trí này trên thị trường cao hay thấp?
Giá
29.000đ / lượt
Các phúc lợi dành cho bạn
Thưởng
Attractive Salary + 2 Performance Review/ Bonuses Review Per Year
Nghỉ phép có lương
16 Day Leaves + Health Insurance
Máy tính xách tay
Laptop + Taxi Cards
Thông tin việc làm
NGÀY ĐĂNG
26/02/2025
CẤP BẬC
Nhân viên
NGÀNH NGHỀ
Tiếp Thị, Quảng Cáo/Truyền Thông > Tiếp Thị Trực Tuyến
KỸ NĂNG
Data analysis, E-Commerce Analytics, Digital Marketing Tools, Reporting Skills, Business analysis
LĨNH VỰC
Điện/Điện tử
NGÔN NGỮ TRÌNH BÀY HỒ SƠ
Tiếng Anh
SỐ NĂM KINH NGHIỆM TỐI THIỂU
1
QUỐC TỊCH
Không hiển thị
Địa điểm làm việc
364 Cong Hoa - Ward 13 - Tan Binh"
4145597590,Data Analyst,Publicis Groupe Vietnam,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",6 days ago,97 applicants,"We are seeking a Data Analytics with expertise in analyzing and optimizing first-party data within customer relationship management (CRM) and partner relationship management (PRM) systems. The ideal candidate will play a key role in leveraging first-party data to drive strategic decision-making, enhance customer and partner engagement, and support business growth.
If you're ready to be part of a dynamic team and make a difference in marketing analytics, apply now!
Responsibilities:
Analyze first-party data from CRM and PRM systems to identify trends, patterns, and insights.
Optimize the performance of CRM and PRM systems to ensure data accuracy and effectiveness.
Create reports, dashboards, and data visualizations to track key performance metrics and communicate insights to stakeholders.
Analyze marketing campaign performance via GA or GA4 to provide insightful understanding of consumer behavior, engagement with brand campaigns, and suggest optimizations for future campaign planning.
Understand campaign planning and user experience across digital touchpoints to develop tagging and tracking strategies, enabling effective performance measurement.
Build dashboards to monitor campaign performance and provide data-driven recommendations.
Understand data analytics and analyze campaign performance across media channels, considering the unique nature of each channel. 
Run data pipelines to ensure seamless data flow for dashboard building and reporting
Stay updated on industry best practices and emerging trends in data analytics and CRM/PRM technology.
Requirements:
Bachelor's degree in Data Science, Statistics, Computer Science, or a related field.
Proven experience in analyzing first-party data within CRM and PRM systems.
Strong proficiency in data analytics tools and techniques, with expertise in data visualization.
Excellent communication and collaboration skills to work effectively with diverse teams.
Ability to translate data insights into actionable strategies to support business goals.
Prior experience in a data analytics role is preferred."
4111828239,"Data Specialist – Operations, ShopeeFood",Shopee,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",1 week ago,,"About The Team
The Operation teams at Shopee covers the operational end-to-end process, from when the buyer searches for a product listed on the Shopee platform, to the moment the buyer receives the products. The team analyses and monitors operational KPIs across the region and conducts root cause analysis when operation performance fluctuates. The Operations team comprises Customer Service, Payment, Listings, Warehouse, Logistics, Seller Operations and Fraud.
Job Description
Data Management and Integrity:
 Collect, clean, and organize data from diverse sources while ensuring accuracy and security
 Conduct routine quality checks to maintain data integrity and resolve discrepancies promptly
Data Analysis and Insights:
 Perform exploratory data analysis to uncover trends, anomalies, and actionable insights
 Present findings in clear, impactful visualizations to support business objectives
Automation and Tool Development:
 Build and optimize automated tools, scripts, and dashboards to streamline reporting processes
 Continuously enhance existing data systems for efficiency and scalability
Collaboration and Support:
 Partner with team members to understand their data needs and provide tailored solutions
 Train and support colleagues on data tools, ensuring effective utilization
Process Improvement:
 Identify opportunities for operational efficiencies using data-driven approaches
 Contribute to initiatives that improve workflows and reduce manual intervention
Requirements
Bachelor’s degree in Data Science, Analytics, Computer Science, or related field.
1-3 years of experience in data analysis, reporting, or similar roles.
Proficiency in data tools and programming languages (e.g., SQL, Python, R, Excel).
Familiarity with data visualization tools (e.g., Tableau, Power BI).
Strong analytical, problem-solving, and communication skills"
4105948450,Sustainability Data Analyst,On,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",2 weeks ago,,"In short
This is your opportunity to become part of the worlds’ fastest growing sports company. To help us increase our understanding of our sustainability impact and drive meaningful decisions, we are looking for a Sustainability Data Analyst with experience in environmental footprinting to join our team in Ho Chi Minh City. If you have a passion for sustainability, strong data analysis skills, and experience working with diverse stakeholders, we encourage you to apply!
Your mission
Collect and verify sustainability data from suppliers in Vietnam
Standardize data collection and reporting processes
Work with suppliers to improve data accuracy and completeness
Assist the Responsible Manufacturing team with data collection for audits
Collaborate with local and Zurich sustainability teams to ensure data needs are met
Support the integration of supplier data into On's reporting systems
Support data workstreams for sustainability compliance purposes
Contribute to a more transparent and sustainable supply chain
Your story
Bachelor's or Master's degree in Environmental Science, Sustainability, Data Science, or a related field
Minimum 1 year of experience in sustainability/audit data collection and reporting, preferably in the footwear/apparel industry
Strong understanding of sustainability metrics, standards, and regulations. Passion for sustainability and social responsibility
Experience working with suppliers in Vietnam or other Southeast Asian countries
Strong data analysis and reporting skills
Proficiency in data management tools and software (e.g., Excel, Google Sheets, BigQuery)
Strong communication and interpersonal skills, with the ability to collaborate effectively with diverse stakeholders
Fluency in English and Vietnamese
What We Offer
On is a place that is centered around growth and progress. We offer an environment designed to give people the tools to develop holistically – to stay active, to learn, explore and innovate. Our distinctive approach combines a supportive, team-oriented atmosphere, with access to personal self-care for both physical and mental well-being, so each person is led by purpose.
On is an Equal Opportunity Employer. We are committed to creating a work environment that is fair and inclusive, where all decisions related to recruitment, advancement, and retention are free of discrimination."
4141951973,Data Analyst,Yum! Brands,"Ho Chi Minh City, Vietnam",3 weeks ago,154 applicants,"About the Company
 - At Pizza Hut Global, we want to build the Winning Recipe for our Customers and Team to connect people through the joy of pizza. Taking a fact based, data driven approach is fundamental to us focusing on the right areas. Pizza Hut Global has a vast amount of Operational Data to surface insights for our Team and Key Markets to improve the Customer Experience, execution of standards and to increase sales.
About the Role
 - We’re looking for someone with a proven track record to be our Data Analyst for the CX Team who is passionate about leveraging data to solve business problems and make data driven strategic decisions. They should have the ability to dive deep into the data sets, set up user friendly dashboards, present data back in a clear concise format utilizing Dashboards, Excel & PPT and plan a calendar of analysis to manage the intake. Reporting to the Insights Manager and supporting the CX Team, you would work closely with the HutBot Data Team in Vietnam to ensure that we are sharing learnings across teams.
Responsibilities:
Data Analysis & Reporting: Collect, clean, and analyze data from multiple sources to produce key business insights. Design and deliver actionable reports and dashboards in reporting platform.
Ad-Hoc Analysis: Provide on-demand analysis to address specific business queries and support initiative.
Business Insights & Strategy: Collaborate with business leaders to deliver business insights to support decision-making across various departments, shaping strategy and creating understanding.
Data Visualization & Dashboards: Develop dynamic, visually compelling dashboards that allow teams to monitor key metrics, track performance, and identify opportunities for improvement.
Data Modeling: Use historical data to create predictive models and correlation outcomes, helping to plan for KPI performance and make proactive decisions.
Data Integration: Work closely with data teams to ensure seamless integration of data sources, ensuring that data flows accurately and efficiently between systems.
Data Quality & Integrity: Maintain data accuracy, consistency, and integrity in data systems, identify discrepancies, and work to resolve any data issues promptly.
Presentation: Create and present back analysis in Excel / Dashboard / PPT format to clearly represent the data.
Qualifications: 
2+ years experience in a similar role, with strong expertise in data processing and BI-based reporting. Experience in restaurant industry is a plus.
Required Skills:
Strong proficiency in database platforms e.g. Snowflake, BigQuery for data warehousing and querying.
Expertise in DOMO or other BI tools (Power BI, Tableau,…) for reporting, app-based dashboards, and data visualization.
Proficiency in SQL, and strong experience with data modeling, ETL processes, and cloud-based data platforms and data analysis tools.
Strong understanding of statistical analysis techniques.
Experience working in a cross functional team.
Ability to take data, turn it into insights and report back in clear concise format with recommendations for action.
Strong organization and documentation skills.
Relationship-building skills – and ability to gain influence with key stakeholders in order to drive decisions.
Strong English written and verbal communication skills.
Highly proactive and self motivated.
Experience using Content Square or other user experience analysis tool is advantageous.
Compensation package:
100% salary during the probation period
Annual Leave: 18 days/year,
5 “Recharge Days” – Extra days, in addition to company holidays,
1 Day off paid leave for your birthday,
Half-day Fridays,
Full salary insurance,
13th-month bonus,
Advanced health insurance (Generali),
Regular team and engagement activities,
LinkedIn learning & training courses, based on company policy,
MacBook and Monitors.
Working Location: Waseco Building, 10 Pho Quang Street, Ward 2, Tan Binh District, HCMC.
Working hour: 9AM-6PM, Monday to Friday."
4154302553,Business Intelligence Growth Associate - Shopee,Shopee,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",1 week ago,46 applicants,"Job Description
Define, track, and evaluate business metrics, and democratize data by building and socializing decision tools (dashboard, reports).
Work with the line manager to consult various business stakeholders across the Marketing Department (CRM, Growth, Campaign) to track performance, conduct analysis and data models, and provide data support to help the business make proper and informed decisions to drive overall business growth and efficiency.
Communicate the state of the business to stakeholders regularly with the purpose of enabling the Shopee Vietnam team to understand the reasons behind the trends and provide insights to drive strategic decisions.
Oversee overall functions business performance (user acquisition, retention, and activeness; monetization performance, cost efficiency, growth opportunities...) to ensure KPIs achievement, contribute to target settings, and plan for the in-charged functions.
Support various business functions with the development and maintenance of various management reports.
Requirements
Fresh graduate or having less than 1 year of experience in working with data
Knowledge in e-commerce, digital user growth, or marketing is preferable
Strong analytical thinking and problem-solving. Able to break complex and ambiguous problems into small and addressable pieces
Can-do attitude, detail-oriented, able to work effectively under high pressure and tight timeline
Ability to learn quickly and adapt to high velocity of change
Hard Skills For Data Analytics
Strong experience in SQL
Good knowledge of statistics"
4151838205,Data Analyst,Glints Vietnam,"Ho Chi Minh City, Vietnam",1 week ago,59 applicants,"About the Role:
Drive and manage the lending portfolio from a data-driven perspective, focusing on building and enhancing models and data frameworks to assess and mitigate risk. Take ownership of analyzing complex datasets, developing robust data pipelines, and creating predictive models to generate actionable insights. Ensure accuracy and integrity of the data while delivering meaningful reports and analytics to support critical business decisions and improve overall portfolio performance.
Lead the analysis and interpretation of complex datasets to identify trends, patterns, and insights that drive strategic decision-making and model development.
Design and develop advanced machine learning models and algorithms to address business challenges and optimize performance.
Collaborate with cross-functional teams to gather data requirements, define modeling objectives, and deliver customized solutions aligned with organizational goals.
Apply advanced statistical techniques and predictive modeling methods to support business performance analysis and future strategy formulation.
Oversee and manage data science projects, including planning, progress monitoring, risk mitigation, and timely delivery of models and solutions.
Assist the manager in driving strategic initiatives, ensuring alignment of model-building efforts with organizational objectives, and delivering on additional responsibilities as required.
Qualifications: 
Bachelor’s degree in a related field (e.g., Data Science, Statistics, Computer Science).
3 years of experience working with financial data.
Must have lending experience and model-building experience. 
Must have Hands-on experience with Python, SQL, and Jupyter Notebooks for data analysis, modeling, and building scorecards.
Experience in team leadership is a positive.
Experience in data pipelines is a positive"
4141908392,Senior Business Intelligence Analyst,Shopee,"Ho Chi Minh City, Vietnam",3 weeks ago,35 applicants,"Job Description:
Business Partnership: Proactively engage with internal business teams to understand their data requirements and translate business questions into analytical solutions.
Advanced Analytics: Conduct in-depth data analysis to identify trends, patterns, and opportunities. Develop and implement advanced analytical models to address complex business challenges.
Insight Generation: Deliver actionable insights to business stakeholders & BI Heads, through clear and effective communication.
Project Management: Own end-to-end data projects, from defining the scope to delivering results. Build frameworks and trackers to monitor project progress and ensure timely delivery.
Stakeholder Management: Build strong relationships with stakeholders across the organization. Effectively communicate complex data findings to both technical and non-technical audiences.
Data Solution Development: Design, implement, and maintain a self-service data platform that enables ad-hoc access to large datasets, empowering business users to conduct their own analyses.
Continuous Improvement: Proactively identify opportunities to improve data quality, efficiency, and effectiveness. Stay up-to-date with the latest data technologies and trends.
Requirements:
At least 3+ years of working experience in Data Analyst, Business Intelligence or Market Intelligence, preferably at tech companies.
A curious mindset with a passion for data and problem-solving.
Strong analytical skills with a proven ability to translate data into actionable insights.
Strong business acumen with a desire to understand the eCommerce industry.
Proficiency in SQL.
Experience with data modeling and analytical frameworks.
Experience in Python and other similar languages & tools
Prior experience with database and model design and segmentation techniques"
4141955643,Data Processing Executive,Worldpanel by Kantar,"Ho Chi Minh City, Vietnam",3 weeks ago,118 applicants,"We are proud to announce that Kantar Worldpanel Vietnam has been certified as a Great Place to Work for 2024 - 2025. This prestigious recognition reflects our commitment to fostering a positive and inclusive work environment where every team member can thrive and contribute to our collective success.
Role overview:
Produce, check, maintain and deliver data to Client as requested 
without error
 and 
ontime
.
WHAT’D YOU DO:
Data production and maintenance 
Produce database & WPO as Client request by using current system (SYTES & TNSCub)
Update and maintain database based on Client database subscription
Quality control 
Follow database building and checking process strictly
Ensure datasets are built correctly according to description
Foresee and report issues that could undesirably affect the datasets
Build up relevant specifications/quality tools
Data delivery
Deliver data as scheduled
Update relevant reports: late itemization, re-run/ re-work, data subscription, timesheet...
System migration:
Attribution: build and manage Attributes following current instructions and rules
Factory: prepare data (data input, data calculation, universe, weighting...) as instruction
Make relevant reports
Project production
Build project database upon request following current process on time and without error
Support other requests (LinkQ data, ad-hoc report...)
Panel management
Setup period sytes system for panel in charge of
Ensure all panel system files built accurately before releasing to team members
Control and maintain system files efficiently.
WHAT’D YOU BRING:
Bachelor degree in related field
Good command of English, able to follow instructions documented by Regional Team
Excellent knowledge of MS Office Suite, Programming language is preferred
Detailed, well-developed logical-thinking skills and analytical skills with a keen interest in working with data and proficient in programming
A comprehensive understanding of database management
Able to communicate effectively and work collaboratively
Flexible approach to work with the ability to work under pressure and meet tight deadlines.
WHAT’D WE OFFER:
Attractive annual leave (15 days in your first year and 20 days from the second year)
Private health insurance cover
Flexible working arrangement
Recognition programs
Celebration of all main festivals
Fixed 13th month of salary.
Why join Kantar?
We shape the brands of tomorrow by better understanding people everywhere. By understanding people, we can understand what drives their decisions, actions, and aspirations on a global scale. And by amplifying our in-depth expertise of human understanding alongside ground-breaking technology, we can help brands find concrete insights that will help them succeed in our fast-paced, ever shifting world.
And because we know people, we like to make sure our own people are being looked after as well. Equality of opportunity for everyone is our highest priority and we support our colleagues to work in a way that supports their health and wellbeing. While we encourage teams to spend part of their working week in the office, we understand no one size fits all; our approach is flexible to ensure everybody feels included, accepted, and that we can win together. We’re dedicated to creating an inclusive culture and value the diversity of our people, clients, suppliers and communities, and we encourage applications from all backgrounds and sections of society. Even if you feel like you’re not an exact match, we’d love to receive your application and talk to you about this job or others at Kantar."
4164953467,Data Analyst - Business Reporting Executive,CRIF,"Ho Chi Minh City, Vietnam",7 hours ago,53 applicants,"WHO WE ARE
CRIF is a global leader in credit bureau, business information, and credit risk management solutions. We elevate businesses to the next level with an expert blend of data and analytics. Through data-driven insights, we empower businesses to make confident, sustainable decisions across the credit lifecycle, while mitigating risk and fuelling growth. Headquartered in Itay, CRIF operates in 37 countries across four continents, with a team of over 6,000 professionals worldwide. 
We have a strong presence in Asia with regional headquarters in Singapore, as well as offices in key cities including, Dushanbe, Hanoi, Ho Chi Minh City, Jakarta, Kaohsiung, Kuala Lumpur, Manila, Mumbai, Pune, Taipei, Taichung, Tashkent, Tokyo and Zhongli.
Our culture is entrepreneurial, open and inclusive, and teamwork-oriented. We are looking for talents with the aspiration to thrive in a rapidly growing business in the exciting FinTech and credit information space.
For more information, visit 
www.crifasia.com
. 
Job description:
- Conducting researching, collecting and verifying information via in-depth telephone interviews with companies in Vietnam, Cambodia, Laos, Myanmar and Brunei.
- Processing different kinds of business information reports for companies in these 5 markets.
- Ensure all reports delivered high quality within standard speed of service.
- Answering all inquiries related to business information reports for customers.
- Other tasks assigned by Management team.
Job requirements:
- Graduation from collegues and above, ONLY majoring in Business Administration, Economics, Finance, Marketing and Communications.
- 1-year working experience
- Good English skills (at least equivalent to TOEIC 700)
- Must have good telephone communication skills
- Strong data research skills
- Careful and detail oriented individual
- Positive attitude, being responsible, committed to deadline
- Multi-tasking skills, quick learner and good team player."
